wn,1,2,3,4,5,6
3807.09,83.1569,-4.89158,9.78316,83.1569,92.94,34.2411
3806.58,73.3631,14.6726,44.0178,0,122.272,48.9087
3806.07,112.474,9.78032,34.2311,48.9016,92.913,39.1213
3805.56,9.7789,14.6683,73.3417,34.2261,29.3367,29.3367
3805.05,19.555,-4.88874,-39.1099,63.5536,63.5536,24.4437
3804.54,102.649,14.6641,73.3204,78.2085,0,19.5521
3804.02,78.1971,-4.88732,63.5352,73.3098,0,83.0844
3803.51,39.0929,-19.5464,29.3197,14.6598,14.6598,-29.3197
3803,78.1744,14.6577,-4.8859,34.2013,92.8321,73.2885
3802.49,24.4259,14.6556,87.9334,14.6556,63.5075,58.6223
3801.98,53.7293,-9.76896,0,92.8051,-9.76896,87.9206
3801.47,83.0241,-14.6513,39.0702,102.559,-4.88377,0
3800.95,4.88306,14.6492,83.012,53.7137,34.1814,63.4798
3800.44,78.1176,0,-19.5294,68.3529,63.4706,-39.0588
3799.93,97.6328,0,14.6449,24.4082,39.0531,53.6981
3799.42,102.5,-29.2856,-4.88093,92.7377,29.2856,102.5
3798.91,-48.8022,19.5209,68.3231,53.6824,53.6824,24.4011
